1000 11
A	B	C	D	E	F	G	H	I	J	Class
cj	bo	l	w	cm	bx	at	cj	cn	cq	c10
co	ai	ae	bj	ao	ce	br	ca	az	bw	c13
bk	aq	cg	bz	bk	bp	cl	by	cd	u	c14
cf	bf	ai	be	ct	cq	bf	az	i	be	c12
bo	ab	bo	cv	i	cq	r	cd	i	g	c12
cm	aj	bd	c	aw	bd	bc	cc	as	j	c5
j	k	cv	cv	bn	ac	bv	by	ao	af	c3
bg	p	aa	bu	d	af	bq	ad	cb	ax	c4
t	x	be	cr	u	al	cn	h	d	af	c7
u	v	cn	am	bj	bk	ct	g	cf	v	c6
bx	cr	ae	av	bf	ce	bn	cc	au	au	c13
ab	bd	at	aq	bb	cq	an	s	i	co	c12
ax	ct	ad	ab	cs	cb	bz	an	bg	av	c1
cq	at	bg	bs	b	au	ak	at	ab	m	c8
l	bz	cf	co	z	bd	co	cc	b	bm	c5
bb	cq	cm	bw	ar	bd	p	cc	an	cb	c5
y	af	ad	am	cp	cb	ak	aa	y	bt	c1
bq	ad	q	cj	aa	bk	a	g	am	ct	c6
cs	bl	ag	av	z	af	bd	ay	cb	cd	c4
ba	y	am	bj	u	cq	bt	ai	i	bb	c12
bj	bb	cm	bq	aa	ai	bs	cn	af	bv	c11
bj	l	j	ci	u	ai	bt	ao	w	g	c11
j	ah	ap	ca	aw	ac	v	aj	be	bx	c3
co	bq	bn	t	cp	al	aj	e	ap	af	c7
j	be	al	af	bc	ac	g	cq	p	m	c3
cq	c	ae	ah	al	ce	g	cg	q	bd	c13
cc	ad	ae	t	g	af	br	r	cb	cn	c4
bj	cg	w	av	bh	ai	bd	ct	ac	bt	c11
cf	ao	ai	ax	bf	af	bf	ah	cb	bk	c4
ay	d	ct	cf	cm	af	bt	bq	cb	bh	c4
bd	ak	ai	bv	ci	bx	bh	cj	bn	bt	c10
bb	bx	aw	bf	aq	cq	aa	y	i	bw	c12
aa	ch	ae	d	ap	ce	f	an	n	cb	c13
t	a	cn	ca	w	af	bq	c	cb	bv	c4
cv	bz	cf	cp	y	au	af	cu	ch	m	c8
s	d	bv	k	av	af	cu	q	cb	s	c4
bp	ay	m	bx	ad	al	cj	v	cp	af	c7
bg	a	ae	am	bv	ce	cq	at	r	x	c13
bs	be	bf	ch	s	bx	bm	cj	an	z	c10
bj	ao	j	ao	bh	ai	bc	bs	d	cq	c11
