10000 7
A	B	C	D	E	F	Class
aal	aeb	aje	akm	ajz	cs	c5
iy	aba	ew	yi	vk	e	c2
xs	xn	nj	ady	aky	abr	c4
afh	ng	ay	yt	akv	xl	c3
acn	xn	aha	dp	bi	aec	c4
mu	xn	et	yr	kb	ro	c4
qs	aeb	xg	acm	hq	rs	c5
mt	ace	ep	xo	vs	alc	c1
afo	aba	w	ada	gj	xt	c2
no	ng	ca	on	aap	cn	c3
agu	xn	bu	agy	ks	all	c4
li	aba	akg	wp	zu	oc	c2
w	aeb	to	agh	jh	wz	c5
ao	ng	xb	akt	tf	lj	c3
ge	ng	aae	te	ek	nz	c3
age	aeb	ig	zr	ez	mq	c5
sx	xn	fo	agu	cl	em	c4
ys	ng	up	oz	zy	qb	c3
pf	xn	sl	s	aff	ds	c4
mb	ng	ds	vf	akv	oy	c3
ahl	ace	yh	az	lz	acy	c1
pj	xn	un	bh	xk	qv	c4
ne	ace	wq	yg	ku	adm	c1
ajf	xn	qn	rz	sa	vf	c4
nm	xn	acq	jq	ki	aef	c4
wh	ng	kx	xm	lr	it	c3
qg	aba	lu	aax	bs	xr	c2
gb	aba	aco	ct	hu	ca	c2
aby	aeb	js	hy	fr	adr	c5
ahl	aba	ae	qj	ss	ll	c2
ha	ng	bn	aji	aai	pc	c3
lh	aeb	sc	l	ls	dv	c5
gc	aba	xz	o	hs	aas	c2
os	ace	gr	aio	aw	ael	c1
bc	aba	qp	wj	ay	pj	c2
vi	ng	tg	cc	ais	kf	c3
ks	ng	ob	cy	ix	xp	c3
gp	aeb	z	ri	ej	lc	c5
ni	ng	aed	afr	aan	ks	c3
wo	aeb	er	px	pb	sm	c5
wz	aeb	pp	gv	akg	gd	c5
p	ace	yp	is	es	ei	c1
ajs	ace	ada	aje	dj	qp	c1
ael	aba	gn	th	xn	acw	c2
ch	xn	agr	lk	ew	qz	c4
gv	xn	gk	u	ig	js	c4
yf	aeb	lv	bz	ip	aay	c5
afb	ng	qi	jb	bt	l	c3
dn	aeb	ace	be	abm	gd	c5
alc	aba	ha	agq	nz	ce	c2
aet	ace	ake	dp	tv	d	c1
ys	xn	vf	ib	t	do	c4
gx	aba	jf	bq	jz	ads	c2
abd	ace	agp	mg	o	agy	c1
gv	xn	es	vp	gr	ajt	c4
jt	xn	lg	xq	rf	bw	c4
zq	ace	m	un	sr	kx	c1
gp	aba	acx	eh	abl	mt	c2
ta	xn	zd	aay	yo	wi	c4
abo	ng	tc	nr	gx	ei	c3
mq	ng	afw	tw	e	mb	c3
akr	ng	ajd	zk	xg	afw	c3
cf	ace	ri	zq	kj	yh	c1
um	aeb	vs	afa	sp	fb	c5
rs	aba	adk	lr	in	cx	c2
hj	aba	yz	abc	agi	lj	c2
mt	aeb	mx	akq	tf	qj	c5
zy	aba	gn	aau	uc	aaq	c2
za	aeb	aaj	wi	us	oi	c5
aei	ng	yv	so	en	agx	c3
kd	xn	lf	ah	fo	he	c4
wj	xn	adj	aan	ss	sg	c4
xa	ace	dn	ow	afi	aes	c1
akw	aba	ps	qa	kr	be	c2
sg	ng	yq	aho	zd	aby	c3
nk	ace	qw	mx	qu	zt	c1
ake	xn	abh	qy	mv	aaq	c4
acq	aeb	by	ajj	nw	ej	c5
ado	aeb	aiu	pa	alb	ir	c5
adx	ng	aab	afz	az	aga	c3
afg	aba	co	ip	aea	wt	c2
dk	xn	aed	aip	ajs	hl	c4
akx	ng	ahp	vq	aie	ala	c3
a	xn	qb	yp	ij	afh	c4
nf	aba	k	acq	nt	acj	c2
du	aeb	ta	qf	gg	yd	c5
cq	ng	rb	aao	aa	jg	c3
xu	xn	qx	zx	afx	vn	c4
ng	xn	ok	ael	pe	aad	c4
yr	aeb	yi	uc	aag	ahs	c5
jo	xn	mz	xw	ze	l	c4
wx	ace	pc	aij	zc	hi	c1
wv	ng	mq	adw	yq	akh	c3
afu	aeb	tz	vj	alc	fi	c5
adw	ng	eq	ll	aep	ij	c3
bx	xn	i	vt	u	bh	c4
oq	aba	aje	akp	bx	afq	c2
aij	aba	akq	fq	rh	da	c2
nv	aeb	lt	agz	acz	iu	c5
ii	aeb	aeo	adp	abh	pv	c5
ys	aba	eo	sm	el	id	c2
vk	aeb	ap	aax	sk	abk	c5
gy	aba	vo	agd	cs	afg	c2
gl	aba	wm	oi	aij	qa	c2
ug	ace	wp	nx	kk	rj	c1
adn	aba	aea	uz	ahr	se	c2
sl	xn	ru	ga	qe	ty	c4
rg	aeb	qh	sg	ahv	pw	c5
rg	aeb	go	ahw	hw	alk	c5
ahv	xn	aav	yq	ww	cq	c4
pp	xn	ft	jh	qd	afa	c4
akw	aeb	abx	ma	ws	is	c5
vt	xn	fo	akq	v	y	c4
if	xn	h	kj	mk	aeg	c4
zm	ng	ao	ue	jp	ko	c3
hl	xn	agc	aco	tk	on	c4
vr	ace	abc	db	hf	rn	c1
ub	aba	i	gp	fa	uf	c2
abf	xn	dl	xk	ahl	gv	c4
abc	aeb	zr	ti	eu	s	c5
da	ng	aht	ael	qj	adx	c3
acd	xn	hn	ajq	sc	uu	c4
abn	ng	or	ew	vf	gz	c3
qf	ng	aai	rd	aj	oq	c3
fj	ace	hd	rr	lo	ql	c1
ajl	ng	aji	oj	ny	sy	c3
aay	xn	ux	ws	aga	pf	c4
aiz	aeb	ald	qy	aca	wb	c5
mi	aba	agk	pd	at	ox	c2
zn	aba	nl	ka	bc	afs	c2
vo	ng	kr	oa	yg	aeo	c3
hs	aeb	afw	abp	cq	ex	c5
aji	aba	fa	agd	nw	um	c2
abs	ace	afd	zn	tw	zx	c1
afj	aeb	aca	wf	wy	jp	c5
aip	aba	xc	kk	ajz	mg	c2
ei	ace	jn	ajx	akb	ax	c1
xo	ng	gx	ajh	yp	tn	c3
ri	ace	kx	ahc	fs	aip	c1
akj	aba	hf	aim	wu	ajw	c2
aeo	ace	afu	mm	zc	vf	c1
uc	aba	um	xd	tz	sq	c2
do	ng	cj	lc	ta	aep	c3
adu	ng	vs	jp	uu	nm	c3
po	aeb	xs	wm	wh	jf	c5
wg	aba	hi	ro	v	wn	c2
gw	aba	ry	uk	il	ahi	c2
le	aba	aam	tq	ahu	aaf	c2
ve	aba	iv	ql	acf	mt	c2
cg	ace	na	et	op	acq	c1
rn	ace	sv	aiz	df	afz	c1
bd	aba	ty	kq	vc	abq	c2
xk	xn	my	hy	zm	abh	c4
alb	xn	lp	ap	xc	mx	c4
bq	aba	qp	afu	ei	zx	c2
dw	aba	ed	aeo	pt	ec	c2
sn	ng	jz	ms	aew	aib	c3
vm	ng	ei	fz	ty	nz	c3
az	aba	ake	pc	id	xi	c2
aki	ace	wl	aay	xq	aw	c1
abs	ace	je	aia	zv	jy	c1
xy	xn	iv	bp	ni	wq	c4
aal	aeb	kh	wo	sl	adh	c5
ahw	aeb	lh	aje	wc	fi	c5
zb	xn	dg	adr	kc	gc	c4
aba	xn	zl	sk	ic	wk	c4
xi	aeb	qo	dt	xx	og	c5
agt	aeb	qs	ain	aka	py	c5
aec	aba	ajw	qq	pq	akm	c2
tz	aba	mb	xy	lz	ace	c2
dq	aba	go	aho	aft	oj	c2
ku	aba	bm	gy	bg	rw	c2
acc	aeb	h	aic	gt	kd	c5
bh	aba	xr	nt	dk	mq	c2
ro	ace	ace	sx	afw	acr	c1
rs	ace	xm	le	jh	vo	c1
iv	aeb	aau	aei	adc	nz	c5
pb	aeb	ci	kr	aci	l	c5
ajx	aba	il	yy	vc	wf	c2
qy	ng	agd	ap	vb	aai	c3
ru	xn	afx	mz	ne	vi	c4
da	ng	aiq	aaj	mp	ov	c3
xb	ng	zl	jn	nv	afo	c3
abs	ace	pq	ui	kv	jk	c1
il	xn	ahz	pm	afr	kh	c4
ap	ng	hr	uc	gz	dk	c3
hu	xn	yr	ei	hy	ace	c4
zm	xn	aib	oh	ahb	yj	c4
br	ng	mi	zh	agw	adz	c3
ach	aeb	ww	lo	aas	pd	c5
rq	ace	ale	aam	cx	nt	c1
ff	ng	abz	wl	js	aeu	c3
fq	ng	ajx	em	j	acb	c3
mf	aeb	pj	fw	il	agd	c5
wg	aeb	fv	bq	ahz	ade	c5
kl	aeb	e	wl	xj	uk	c5
aii	aeb	uf	ia	dw	zh	c5
aap	aba	gt	abv	fq	fs	c2
nc	ng	up	ii	iw	rn	c3
ag	aba	co	nh	yg	rf	c2
eu	ng	lo	acl	sz	qv	c3
wn	aeb	ej	ajx	aio	ade	c5
ha	ng	pe	ve	pm	hy	c3
wq	ng	lz	om	ny	vl	c3
vr	ace	uh	nb	nt	aao	c1
aco	aeb	aef	aeg	cd	lg	c5
mp	xn	fc	ay	ee	vn	c4
agt	ace	eu	gp	ir	aks	c1
pi	ng	afh	tm	afk	oe	c3
sr	aeb	il	oa	nx	ahh	c5
tr	aeb	mk	iv	ahw	adr	c5
ws	xn	aij	ahq	vs	qn	c4
afx	aba	rw	nq	lm	aac	c2
aik	xn	ie	tb	pt	ke	c4
sx	aeb	eq	ez	vw	acn	c5
eu	ace	yb	sb	zo	abz	c1
lk	ace	ja	ahs	ajk	hf	c1
rb	aba	jd	ih	aas	vl	c2
gc	aeb	mq	aen	xy	xf	c5
jd	aba	ajn	e	va	ji	c2
lc	aba	rf	yp	alc	qb	c2
cl	ace	zj	au	wt	li	c1
ajh	aeb	act	um	wg	adp	c5
rb	aeb	wx	dd	ei	wu	c5
vu	aeb	dz	yy	pf	adg	c5
go	ace	ais	aft	cf	abv	c1
ua	xn	nf	aks	xd	sg	c4
qi	aba	rc	ql	ahf	zg	c2
hc	aba	tv	aiz	ar	lr	c2
ao	aba	lj	ait	oy	nf	c2
aka	aba	nn	cl	aid	xd	c2
abc	aba	abu	aah	adr	bq	c2
ze	xn	ik	iq	qb	ajw	c4
aez	ace	afy	ue	yl	wb	c1
fo	aba	zp	rf	aha	yo	c2
gs	aba	xi	hu	agj	aq	c2
ud	aeb	p	aga	nr	el	c5
aix	aeb	adi	qg	aks	dn	c5
ey	xn	ti	mi	kw	vr	c4
ahn	ng	pd	aip	xm	zs	c3
ady	xn	te	akp	je	kt	c4
hi	ace	aey	dv	acw	aki	c1
th	xn	hi	agr	q	ali	c4
bv	ng	dx	aaf	xq	xi	c3
alg	ng	mq	qi	tx	dn	c3
se	aba	ty	vo	nd	ug	c2
do	aba	sy	akf	tc	aad	c2
aca	ng	acd	dt	agc	agi	c3
qq	ng	ne	afw	dm	aip	c3
jv	ng	a	akt	adi	zw	c3
t	aba	ain	bo	tg	agi	c2
zr	xn	abc	eb	ajs	vq	c4
rj	ace	agv	un	xr	sm	c1
on	aba	ajx	hd	bp	hf	c2
acp	aba	acx	my	abz	lq	c2
wa	aeb	hp	fe	aen	rg	c5
lg	ng	b	wt	fl	qa	c3
pn	aba	ahz	rq	aq	fm	c2
aak	ace	ahl	akz	ic	alj	c1
ako	ng	nw	tc	yx	pk	c3
ais	ng	ud	og	aks	hc	c3
aes	aeb	uz	aim	aco	ahn	c5
ahs	ng	ads	aiw	aif	rh	c3
zk	ace	oq	pi	qi	aai	c1
os	ng	aea	dm	pw	kk	c3
ap	ace	aeu	y	gs	lf	c1
agt	xn	ahv	wq	ed	rl	c4
ahm	ng	akt	eh	iz	jv	c3
y	ng	jz	vn	ahw	acr	c3
wq	aeb	aca	qh	eo	sa	c5
bw	ng	afy	acl	gb	ac	c3
hx	aeb	gm	wo	agd	pa	c5
abm	ace	at	ep	nm	cr	c1
ajv	aeb	kq	ss	aca	fe	c5
zj	ace	vt	ajp	ale	alg	c1
wc	aeb	acm	ajj	qw	fn	c5
oz	aba	hr	oy	agm	aie	c2
zw	aba	nj	yq	bg	ws	c2
pt	xn	nb	abu	et	ke	c4
aik	ng	afe	wt	lv	sq	c3
wh	ng	aiy	ot	dw	iw	c3
afx	aeb	ic	mn	oq	ps	c5
ss	ace	uv	er	afw	jp	c1
jb	aeb	oc	nl	cw	vt	c5
pl	ace	yn	y	gj	cm	c1
sz	xn	yg	bl	a	ahy	c4
akh	aba	o	bd	aho	fu	c2
gv	xn	ng	ack	agy	nc	c4
eb	ng	th	cz	oq	os	c3
akc	aba	g	pd	jf	ap	c2
ge	ace	mq	adi	ala	acf	c1
lx	aeb	yt	adj	bp	acb	c5
agj	aeb	nt	bj	re	akw	c5
pv	aeb	wz	aix	akl	hv	c5
adj	aeb	aiq	i	wu	aay	c5
bw	ace	qd	oc	rp	aek	c1
aaj	aba	rd	xa	jy	bv	c2
py	ng	nv	jf	tb	adt	c3
er	aba	ahz	aes	iu	qe	c2
adu	ng	rc	aak	abg	vh	c3
fc	xn	tc	aii	gc	abb	c4
ajq	xn	ahz	zl	is	ou	c4
rz	aeb	ais	nc	aip	sa	c5
zo	aeb	agr	rg	hz	xa	c5
qi	xn	jf	mk	cb	aiw	c4
ca	aeb	av	sh	ls	pk	c5
aji	aba	xq	tr	agx	akh	c2
sq	xn	ye	agj	oi	nc	c4
aai	xn	dp	bu	se	yi	c4
tv	xn	abe	pg	zi	aip	c4
mg	aba	aak	gj	ajn	aec	c2
ajk	aeb	er	sw	v	agq	c5
adf	xn	ke	alc	bk	vo	c4
aag	ace	qi	mj	ez	aeg	c1
zi	ace	hx	qy	un	aki	c1
be	aba	si	qo	ade	abs	c2
dy	ace	ald	fc	ae	acy	c1
yn	xn	bb	la	gx	xi	c4
akg	aba	bx	wd	mx	afn	c2
aq	aba	zk	ro	abv	abd	c2
bv	aba	ur	i	yc	ct	c2
adi	ace	adg	pg	aay	nb	c1
bt	aba	jx	hf	ng	akv	c2
ng	xn	ajk	ajx	rq	ba	c4
uv	aeb	ze	nf	aeb	acx	c5
hm	aba	aat	qf	kf	zu	c2
va	ng	xn	afe	aiz	akh	c3
fy	aba	ahv	ahh	abq	ov	c2
a	xn	aeg	aau	jj	aaz	c4
hr	ng	qk	cv	bl	yf	c3
pz	ng	adn	wj	ul	ds	c3
ahh	aba	adi	aim	add	acg	c2
kz	aba	abc	rv	pa	le	c2
mz	ace	sb	rj	aik	ain	c1
gj	ace	qz	ki	ajo	acv	c1
acu	xn	ajv	rz	adt	ay	c4
mn	aeb	is	jl	dj	jb	c5
nu	ace	jb	ig	acn	xz	c1
abo	xn	zy	adm	ki	bt	c4
jl	xn	gp	afq	um	bc	c4
ps	ng	abh	mf	alj	ts	c3
ab	aeb	nu	ady	po	s	c5
li	xn	adf	od	aah	afz	c4
aix	aba	xr	fz	go	mg	c2
afn	xn	em	lh	zn	aki	c4
wj	ace	er	xu	ahb	tj	c1
adg	aba	md	ox	yz	ar	c2
rb	xn	u	lq	afe	afd	c4
hn	aeb	gs	aca	qs	hi	c5
az	aeb	zq	di	nd	zt	c5
nu	aeb	rv	nu	aan	ol	c5
uq	ace	di	agr	fd	rj	c1
pm	ace	ad	qo	h	aez	c1
kn	ng	aab	mm	ft	sy	c3
fy	xn	ou	hi	agm	wf	c4
vy	aba	afb	ali	co	abi	c2
agl	aeb	qf	en	ba	aas	c5
d	aeb	qo	zs	o	fh	c5
ahp	xn	wj	sw	wd	km	c4
dk	aba	ahn	el	pm	ahg	c2
zm	ng	nh	uw	bq	aek	c3
aeg	xn	jg	acw	vk	dz	c4
jy	aeb	gk	bv	akr	sq	c5
aa	xn	hs	aas	xa	acp	c4
aha	ace	st	abi	hi	aq	c1
eg	xn	adm	pj	aeq	je	c4
aen	ng	afx	kb	aaj	xd	c3
aid	ace	hu	ht	aa	age	c1
aea	aeb	dq	ao	nq	hi	c5
ahu	ace	wy	adb	t	alc	c1
go	aeb	fo	xa	qp	m	c5
de	aeb	sv	aal	em	kp	c5
rh	aba	he	alh	qp	pe	c2
akn	aeb	abh	hc	ns	oz	c5
uh	aeb	qh	aff	nb	bj	c5
akl	xn	agg	av	ahk	acb	c4
acl	ace	yw	vk	akt	aai	c1
to	ace	wp	aif	na	aak	c1
iy	xn	ael	sc	cr	mh	c4
lb	aba	ajr	ahh	il	aip	c2
hm	aba	lm	ja	aen	aat	c2
ef	xn	adr	pb	aho	vr	c4
lr	xn	aiv	ajp	gy	ahq	c4
px	aeb	pa	lx	aag	akj	c5
mz	ace	um	vu	zr	wl	c1
do	xn	dd	so	yw	lc	c4
adr	aba	kt	kj	qk	ug	c2
abv	ace	th	agp	wy	yq	c1
hq	ng	eq	ado	pw	xt	c3
ahq	ace	np	di	nj	ace	c1
dr	xn	km	tb	aak	ib	c4
cx	ace	xa	agz	ep	ob	c1
akf	ace	el	py	bn	k	c1
fg	ng	adl	acl	hv	mt	c3
agr	ace	do	pf	lf	cm	c1
aec	xn	wv	rw	xe	yp	c4
g	xn	sk	oi	tz	aiv	c4
ajn	ng	vw	aid	afp	wf	c3
ek	aba	aiw	adf	agu	akw	c2
aig	ace	hh	kl	aea	bv	c1
adu	aeb	wl	aei	aed	agh	c5
nu	xn	ik	aar	alk	jh	c4
vx	aeb	ar	o	hz	ec	c5
dj	aeb	ee	tr	mw	ep	c5
oo	aba	za	qz	ii	kj	c2
om	xn	aef	aha	ch	aes	c4
ajy	ace	agi	di	mw	lu	c1
ex	aeb	abl	ey	iy	sd	c5
r	ace	so	hq	ma	ahb	c1
alj	ng	vp	aba	ow	kz	c3
eh	ace	afh	kd	oj	ahf	c1
bt	xn	gx	adq	su	f	c4
aeh	aba	uh	aje	mj	oq	c2
i	aba	pl	hb	av	av	c2
aan	ng	abq	xc	aek	rr	c3
ua	ace	he	aex	aiy	ru	c1
acd	ng	ed	di	nv	aju	c3
agu	aba	acv	gs	hq	lb	c2
ap	aeb	aim	afj	ie	acs	c5
cc	ng	hk	as	bf	afe	c3
hm	aeb	afd	agt	wm	ol	c5
ahm	ng	akj	lb	nb	fn	c3
pz	aeb	ol	rk	w	qt	c5
aeq	xn	ts	se	fm	iu	c4
agp	ng	eu	ug	vg	jy	c3
aac	aeb	jl	nh	mo	sk	c5
pf	ace	adu	ra	add	aaj	c1
afn	aba	aat	afj	ib	te	c2
vp	ng	akp	rj	xc	vo	c3
adf	aba	ya	aab	adl	b	c2
tz	aeb	np	fj	oz	by	c5
cu	aba	of	u	jg	yq	c2
al	aeb	ahz	om	jy	adh	c5
ali	ng	pe	jp	gt	aes	c3
abe	ace	vp	so	vu	qu	c1
mt	aeb	abj	oz	sm	age	c5
lr	aeb	cu	jb	agd	wv	c5
ajf	ng	aff	bw	ja	fb	c3
vw	ace	afo	agr	aa	fv	c1
agw	ace	aas	ra	lp	akd	c1
ri	aba	bg	ahk	akk	ma	c2
gd	ace	lz	sk	alh	wq	c1
ph	aba	ahl	zc	jo	mn	c2
ada	aeb	dh	afy	acw	acy	c5
adh	xn	dk	abz	jz	lg	c4
qx	ace	afe	dn	adt	tb	c1
cs	ng	kv	rj	re	yt	c3
agk	ace	akn	bi	rr	xu	c1
zz	xn	hj	cf	afo	mm	c4
rq	aba	rp	aki	u	ahd	c2
ke	aba	tv	ahw	ahk	qi	c2
ahy	aba	aeh	em	zt	afn	c2
agj	xn	agh	qr	ih	mp	c4
aar	aeb	qo	bh	alb	p	c5
aad	aba	hw	pm	th	afc	c2
lz	aba	ea	et	nq	cl	c2
fj	ng	yn	iu	tk	aez	c3
ml	xn	qm	ym	sx	kc	c4
yn	ng	bc	abc	oq	afj	c3
agu	aeb	tl	io	agx	abz	c5
hv	xn	do	es	mp	tm	c4
acr	ace	vi	gb	ce	bk	c1
lt	ace	gf	vg	av	alb	c1
wh	ng	xz	aai	ahw	ajo	c3
akg	aba	hc	nx	di	ro	c2
acr	ace	xz	ll	fw	ov	c1
uz	aba	yt	oe	ao	ji	c2
sr	ace	ry	aaf	xs	jq	c1
aat	aba	ajh	pq	qi	ay	c2
adj	aba	aid	qf	fw	agj	c2
ajk	ng	oy	ud	rf	ut	c3
k	ace	afc	rp	ach	afy	c1
nr	aeb	aaa	ai	akf	xc	c5
rf	aeb	xx	as	adx	ny	c5
aht	aba	vv	ahp	l	gt	c2
ak	aeb	fq	ty	ey	dp	c5
bh	xn	bz	pl	aai	cz	c4
hy	xn	ux	ahr	be	wy	c4
sy	xn	aay	fb	ahx	jy	c4
age	xn	uv	tj	afs	kj	c4
ft	aba	agb	su	mz	abk	c2
mi	aeb	dk	ah	ach	to	c5
gx	ng	wc	aht	hv	alk	c3
aiw	ace	rq	og	co	yl	c1
df	ng	wn	afe	so	rm	c3
sa	ng	akb	abj	ny	acs	c3
mc	aba	vh	cl	adv	hi	c2
bk	ace	afi	rd	ot	ait	c1
ry	aeb	sd	ed	ai	fh	c5
dj	xn	akl	hh	iz	nh	c4
du	ng	yq	ul	abt	zl	c3
kf	ng	bb	aq	pn	kw	c3
sk	ace	rz	ec	zp	ln	c1
ow	ace	acl	abb	ay	aco	c1
is	aba	zx	ahw	xe	ek	c2
pk	aeb	rg	eg	uc	xi	c5
ik	aba	sl	jw	uc	dh	c2
ja	aba	qb	afu	ml	uv	c2
abg	ng	hn	aw	sm	vw	c3
qs	ng	pt	ix	ph	vz	c3
abj	aeb	dy	xu	ne	by	c5
zr	ace	jx	it	gu	cx	c1
xr	aeb	cc	iy	ss	afi	c5
kv	aeb	cs	ws	k	aek	c5
afl	aba	mp	ws	tc	pb	c2
acy	aeb	hm	dn	adn	ff	c5
aiy	aba	abn	ahf	vf	aiy	c2
xk	aba	rb	cr	agv	zl	c2
lk	ace	vs	iq	wx	zp	c1
afq	aba	acp	lo	wi	akz	c2
ahi	ng	mv	cv	ye	ws	c3
acb	ace	acl	p	eq	ov	c1
oi	ng	ku	gx	rn	xg	c3
cg	ace	adq	op	vt	ajt	c1
aet	xn	aij	abd	sb	jn	c4
adb	ng	tb	jl	ny	fk	c3
bx	xn	acv	bu	aiy	ya	c4
zf	ace	to	afg	om	acu	c1
aix	xn	tr	vt	wq	we	c4
ln	aeb	wi	kd	qn	ald	c5
nj	aba	ajk	sk	os	aja	c2
aes	ace	nw	gb	at	ek	c1
ua	ng	kn	aeg	qx	yz	c3
sk	ng	b	is	wb	lw	c3
ct	ace	ft	z	uf	aiw	c1
abx	ace	aag	aad	hh	p	c1
afl	aba	abu	lt	ahp	gf	c2
wi	ng	qn	xt	vz	dn	c3
cl	xn	dp	gr	agj	bq	c4
ahy	aeb	pm	nm	yy	i	c5
ma	aba	mn	aju	gd	jr	c2
ps	ace	pn	cc	ua	kk	c1
tn	xn	acz	li	op	ar	c4
rc	ace	aak	abq	aku	fq	c1
ac	xn	lg	sj	ci	gd	c4
aaj	aeb	adz	agr	pn	aiw	c5
ot	ace	agx	su	agh	afu	c1
iy	aeb	akr	wz	gw	dk	c5
ze	xn	gt	pm	adf	ain	c4
lu	ng	jx	aah	yt	gx	c3
aeb	xn	ah	bj	abp	rw	c4
aag	aba	hm	aib	nl	cs	c2
nz	aeb	zb	vk	zq	gx	c5
js	xn	kb	ajv	rv	pg	c4
mu	ace	vq	nc	tv	jo	c1
gy	ng	vn	hd	dt	nl	c3
il	xn	aew	aeq	ahp	tj	c4
mc	ace	o	afd	sk	akx	c1
vc	ng	aau	agn	cj	tm	c3
ady	ace	rn	ajg	an	acx	c1
ajz	xn	abz	hg	lf	aw	c4
akn	ace	tj	agp	kz	tk	c1
qz	ace	aew	adw	dk	akl	c1
py	aba	nm	fl	akl	mv	c2
bc	ace	ov	wn	gv	adp	c1
abj	aeb	ajh	adb	ahz	zx	c5
kv	xn	be	ca	yv	agv	c4
aiq	xn	nh	vq	dy	lp	c4
f	aba	mv	o	ek	afv	c2
eg	ace	rl	pm	ea	tg	c1
df	aba	ru	tp	rv	ahc	c2
yj	ace	hr	adf	yk	st	c1
xv	ace	wk	aik	afi	akh	c1
ee	xn	gf	aa	lp	sz	c4
be	ace	ju	nc	db	br	c1
ut	aba	qf	mk	aec	afe	c2
fn	aba	aby	bz	aba	eg	c2
aip	ng	hj	ll	aeq	vf	c3
fu	ace	ahi	ai	mb	mw	c1
aga	xn	adn	ael	uh	dw	c4
ku	ace	k	vr	af	np	c1
io	ng	od	md	afr	ahh	c3
yd	ace	wm	ajs	vu	wr	c1
act	ng	vz	ba	qw	td	c3
mn	ng	ajt	fa	hx	aet	c3
mq	aba	afb	iy	oy	tp	c2
o	ng	wb	sm	sx	pa	c3
iz	ng	fo	zv	bj	xc	c3
nw	ace	zh	wr	ael	ws	c1
ku	xn	afj	md	abb	db	c4
lj	ace	np	kb	yb	xt	c1
qs	ace	vs	aad	mf	vt	c1
fa	aba	yp	wh	rt	ahi	c2
ut	ng	gb	hs	bs	kh	c3
ye	xn	ec	mv	dw	alh	c4
qp	aba	wq	pc	ze	gw	c2
sp	ace	aae	wc	ky	kt	c1
yi	ng	od	qe	wo	ajt	c3
pa	ng	aez	aji	akg	yt	c3
xx	ng	akp	aav	ib	jr	c3
ni	aeb	ue	of	hm	ge	c5
au	xn	hg	ro	ke	ajb	c4
r	ace	yk	gh	yg	ako	c1
jv	xn	ws	dy	ht	aer	c4
bf	aeb	agp	aio	bg	xh	c5
my	ng	afx	aig	aie	tm	c3
afd	aeb	ei	aku	aaa	mz	c5
eg	xn	kd	ct	xm	ahs	c4
aan	aeb	ub	aal	tq	yb	c5
aej	ace	cx	aer	aji	cq	c1
ajr	ace	ns	by	fr	pr	c1
hd	xn	cz	cr	cr	pg	c4
xh	ng	jl	akw	dr	aiu	c3
nr	xn	vc	wc	abi	uh	c4
oi	aeb	aft	gc	iz	wz	c5
pq	xn	ql	ak	ri	eh	c4
hp	ace	ke	ait	eu	eu	c1
hg	aba	wv	aku	agp	tj	c2
yz	ng	fi	cf	ye	ej	c3
ajr	aba	dt	pk	aiq	rm	c2
lt	aeb	jo	akb	hk	aic	c5
ta	ace	rm	tt	ft	acy	c1
op	aba	ft	acd	mn	ba	c2
dj	ace	za	mo	fz	jr	c1
z	aba	ga	akx	ms	adm	c2
wg	aba	an	aic	aa	bo	c2
op	aba	adm	cl	hj	uq	c2
aie	aeb	acy	afn	akw	ft	c5
vl	ng	vw	kl	ahi	kr	c3
ow	ace	lv	ms	eo	go	c1
pd	aeb	fa	ags	ahl	akk	c5
bv	xn	adp	gv	jv	ci	c4
aiv	aba	aae	vw	tt	abo	c2
gd	ng	lx	zm	sj	mr	c3
adi	aba	bc	ada	fa	zq	c2
aia	ng	sb	afw	aic	al	c3
ajd	ace	ox	gn	akf	aa	c1
ym	aeb	yu	xy	wt	zy	c5
iu	aeb	eg	be	fm	pq	c5
ge	ng	is	aea	ix	xx	c3
gd	aeb	sp	akn	fl	ho	c5
ed	ng	yu	uu	po	aff	c3
akm	aeb	abr	qg	pg	afv	c5
nm	aba	ajv	aga	ja	ni	c2
abk	ace	kz	kz	zc	kx	c1
acp	xn	adf	ic	acr	afu	c4
bv	xn	uk	adb	qc	jp	c4
z	xn	pg	pc	wv	abh	c4
e	aba	qr	ho	vb	vc	c2
qy	aeb	ail	ro	km	sv	c5
bg	ace	vw	pv	os	kc	c1
acb	ng	fz	fo	nj	abg	c3
ace	xn	xj	ajo	adp	rw	c4
ts	ace	ec	gz	ws	gr	c1
sf	aeb	tv	ako	ir	hl	c5
fy	ace	akt	fs	qb	ot	c1
g	aba	lo	afq	si	ax	c2
nc	ng	tf	aig	jm	aes	c3
akc	ng	bl	ue	zh	aar	c3
sg	xn	ig	mg	abm	nx	c4
ae	aeb	fq	ako	aab	ym	c5
tb	ace	zn	ej	va	lu	c1
wu	ng	ry	agy	jm	ca	c3
wl	aba	nz	nx	abu	aim	c2
pl	aeb	ah	pz	na	gj	c5
gk	ace	f	vl	j	ahl	c1
abo	xn	ajg	os	we	ie	c4
lm	ng	de	ako	ais	l	c3
acw	xn	uw	aip	aht	zw	c4
qp	aba	fy	ada	agu	sn	c2
aeh	ace	ki	xh	ags	zf	c1
hm	xn	lo	st	en	uf	c4
dz	ace	od	ahc	mm	ub	c1
au	ng	nz	ahe	yx	ax	c3
yt	xn	yd	aen	vn	agy	c4
aix	ng	akf	aiy	uq	ahv	c3
